,k_q1,k_q2,k_q3,k_q4,k_q5,dk_q1,dk_q2,dk_q3,dk_q4,dk_q5,dc_q1,dc_q2,dc_q3,dc_q4,dc_q5,dw_q1,dw_q2,dw_q3,dw_q4,dw_q5,nrh_q1,nrh_q2,nrh_q3,nrh_q4,nrh_q5,dw_pds_q1,dw_pds_q2,dw_pds_q3,dw_pds_q4,dw_pds_q5
1,59942.46933308006,93755.41228074438,130337.85587470695,188634.33554987313,432371.6145190601,10167.713487024243,13576.191069420007,17833.510998405298,23886.06940967572,50731.482537584554,6556.582873886067,15874.692946326262,26586.9740151263,41201.49257058093,97462.54936304978,106998.35501066492,33325.39473019114,12002.419326745632,5599.54752520947,1950.7080130758006,0,0,0,0,0,0,0,0,0,0
10,60629.79604524261,94684.6567437463,131679.57570821792,190713.89694204312,437162.22954849625,10064.548337640304,13533.124158154527,17794.967906313697,23820.155595789645,50512.24373984315,6678.530939597761,16161.708863456419,26945.211957528754,41686.44793692664,98407.70519615202,101411.87596384554,30154.406827513456,10977.044572204584,4974.743553266966,1777.3236467238123,0,0,0,0,0,0,0,0,0,0
25,58811.950750065116,92217.9391426393,128335.6500811521,185935.09205641356,427342.1561870516,10105.055377496685,13677.772930373101,17884.84896078815,23713.228534915383,50469.48436526558,6269.386663176479,15386.843263135697,26106.299899587782,40644.40058057123,96333.86765946573,109621.55831739846,33549.40961546601,11929.166514139231,5550.950319004579,1938.5208726742426,0,0,0,0,0,0,0,0,0,0
30,58756.223741062924,92180.20293968747,128291.06675629076,185845.31257795816,427017.22829752305,10188.018875338,13674.751747201699,17865.498161597145,23843.533027356116,50837.35625624696,6269.051288649988,15378.856026153147,26102.513631346406,40640.505982088245,96320.50307167202,111074.65428716961,33920.97493866886,12033.772986146138,5661.239027089213,1979.441803355246,0,0,0,0,0,0,0,0,0,0
50,58671.38188254475,92150.22500904906,128273.36781896942,185707.51001818717,426355.03990339534,10347.785146359462,13969.270975161677,18289.318996512407,24381.16231654714,51822.72577329334,6260.404339512242,15378.418377640992,26129.857127505926,40667.66880053134,96300.38615353209,112626.50285091189,35055.53705758713,12892.51208616576,5920.807102378902,2060.9548091231813,0,0,0,0,0,0,0,0,0,0
100,58599.848011514376,92104.08947960645,128224.6736579825,185573.66093890063,425991.5983016538,10624.608334851111,14365.14875117635,18797.83415282065,24988.596653784913,52999.91793355497,6296.799886227664,15381.524609829905,26140.490866378503,40694.30418839825,96347.96484138613,116541.38096244355,37095.39425676952,14066.789097178738,6508.331171394951,2271.6189937248887,0,0,0,0,0,0,0,0,0,0
200,58509.8291477772,92163.1304698941,128369.0847572185,185804.4107878447,426419.41461350786,10976.299973660734,14813.837877104732,19381.609596541348,25896.20650278847,54684.89527390261,6363.107727778085,15432.927365964126,26200.16009707054,40820.593452346046,96655.88674124733,124233.26330049416,41155.95637415148,16257.593943178876,7434.233074805176,2598.0638847997184,0,0,0,0,0,0,0,0,0,0
250,58446.36176180668,92152.71152729765,128415.00750119024,185922.98199689898,426911.0484637801,11287.580669915076,15314.532426840517,19845.68152981489,26569.478472679475,56411.14277634444,6412.722599064437,15457.253745958993,26245.89396068257,40912.63060593265,96970.57234790409,130967.08279714236,44256.29474746038,18450.240949483905,8555.768216812809,2923.08491689327,0,0,0,0,0,0,0,0,0,0
500,58788.479374621056,92743.92789578524,129336.22895898655,187486.17604136837,431520.4746389678,13206.662661524693,17953.16886649644,23498.218336095346,31285.70916835513,66268.22524917801,6869.8551411769395,15797.775014952693,26674.361445392562,41731.40235273864,99130.8631939021,167892.86986808022,63481.68943279811,30723.39205612119,15407.15606825134,5927.357476367374,0,0,0,0,0,0,0,0,0,0
1000,58005.19043097776,91549.67546920314,127771.02336705122,185761.36022999126,430661.2336045465,15141.251125487472,20620.515115494818,27198.250242603364,36065.93134544584,76506.3204417231,7127.253622012708,15596.294821907451,26410.685116647266,41855.54834586651,100148.88756661481,208931.36712605512,87287.27382219546,47016.44846028193,25401.27622325939,10731.385908707296,0,0,0,0,0,0,0,0,0,0
