region,hazard,rp,new_pov,new_sub,init_pov,init_sub,reg_pop
ARMM,EQ,1,592.3219255682124,890.1078752937962,1207449.8274699994,783053.5235899996,3706900.4411799954
ARMM,EQ,10,948.7287589300016,1514.530761628514,1207449.8274699992,783053.5235900006,3706900.4411799894
ARMM,EQ,25,6901.541320746299,11137.848150501144,1207449.8274700006,783053.523589999,3706900.441180001
ARMM,EQ,30,9145.722176780404,14670.500306507889,1207449.8274699997,783053.5235899998,3706900.4411800117
ARMM,EQ,50,22114.87769732489,35455.90754215595,1207449.8274699983,783053.5235900005,3706900.441179996
ARMM,EQ,100,56713.878749730065,90677.57417255807,1207449.8274699978,783053.5235899995,3706900.4411800043
ARMM,EQ,200,103003.51302033637,170941.4784267419,1207449.8274699987,783053.5235899998,3706900.4411799996
ARMM,EQ,250,121353.12583512104,191855.10769683684,1207449.8274699997,783053.5235900008,3706900.4411800094
ARMM,EQ,500,171219.14940745663,294969.9600861976,1207449.8274700048,783053.5235900005,3706900.4411799894
ARMM,EQ,1000,243181.8080103935,398516.28729686013,1207449.82747,783053.523590001,3706900.441180012
ARMM,EQ,2000,394518.4271896453,669099.5638322253,1207449.8274700032,783053.5235900009,3706900.4411800075
ARMM,HU,1,0.005834813450400002,0.008438155835900005,1207449.8274699985,783053.52359,3706900.441180002
ARMM,HU,10,0.005789158718200002,0.0082260160859,1207449.8274699985,783053.52359,3706900.441180002
ARMM,HU,25,78.58204817439126,105.53191152529664,1207449.8274700008,783053.5235899998,3706900.441180008
ARMM,HU,30,125.76841736471884,169.1804744573027,1207449.827469999,783053.5235899995,3706900.4411800145
ARMM,HU,50,428.1029895836559,612.4892014639357,1207449.8274700001,783053.5235900001,3706900.4411799964
ARMM,HU,100,1799.2645979739084,2525.828164350058,1207449.82747,783053.5235899991,3706900.441180014
ARMM,HU,200,5329.667410158009,7098.606757549051,1207449.8274700004,783053.5235899998,3706900.4411800005
ARMM,HU,250,7646.838950286937,11172.218628201212,1207449.8274699992,783053.5235899999,3706900.4411800103
ARMM,HU,500,20781.102873285432,27107.4667705387,1207449.8274699994,783053.5235900001,3706900.4411800094
ARMM,HU,1000,30479.60309689931,41498.44781918259,1207449.8274700018,783053.5235900002,3706900.441180014
ARMM,HU,2000,171207.91037095725,230042.59282615018,1207449.827470002,783053.5235899992,3706900.441179983
ARMM,PF,1,34.2712314631736,50.339572466074586,1207449.827469997,783053.5235900003,3706900.4411800057
ARMM,PF,10,70.03094557847999,96.66254087049387,1207449.8274700034,783053.5235899998,3706900.441179994
ARMM,PF,25,478.43753604267437,638.0350070055378,1207449.8274700004,783053.5235899988,3706900.4411800127
ARMM,PF,30,812.5224121203988,1105.970774202045,1207449.8274700018,783053.5235899991,3706900.441179991
ARMM,PF,50,2140.586894665422,2944.488930271028,1207449.8274700018,783053.5235900006,3706900.4411799964
ARMM,PF,100,4846.748487531672,6599.877113441757,1207449.8274699969,783053.5235900002,3706900.4411799996
ARMM,PF,200,7350.7915339051315,10389.320786297998,1207449.8274699983,783053.5235899993,3706900.441180008
ARMM,PF,250,9252.547795514534,12350.177886613254,1207449.8274699976,783053.5235900006,3706900.4411800117
ARMM,PF,500,14650.722193933185,19827.38287480408,1207449.827469998,783053.5235900007,3706900.4411799978
ARMM,PF,1000,21167.7685366533,27575.53859595101,1207449.827470001,783053.5235899996,3706900.4411799964
ARMM,PF,2000,41118.15219096266,54614.068541671884,1207449.8274699997,783053.5235900007,3706900.441179985
ARMM,SS,1,0.006030193893500007,0.008398984237100001,1207449.8274699985,783053.52359,3706900.441180002
ARMM,SS,10,0.0060564146361,0.0081927639879,1207449.8274699985,783053.52359,3706900.441180002
ARMM,SS,25,0.0060043594650000046,0.008191203621499995,1207449.8274699985,783053.52359,3706900.441180002
ARMM,SS,30,0.005847222008700004,0.008255196649599998,1207449.8274699985,783053.52359,3706900.441180002
ARMM,SS,50,0.005839705761800004,0.008467223359500002,1207449.8274699985,783053.52359,3706900.441180002
ARMM,SS,100,0.006103439517100002,0.008327090828300002,1207449.8274699985,783053.52359,3706900.441180002
ARMM,SS,200,0.006429243572000001,0.008121101781199997,1207449.8274699985,783053.52359,3706900.441180002
ARMM,SS,250,0.006065333282700004,0.008287317545999998,1207449.8274699985,783053.52359,3706900.441180002
ARMM,SS,500,0.0062075498367000015,0.008243375800299997,1207449.8274699985,783053.52359,3706900.441180002
ARMM,SS,1000,0.005920100142300003,0.008236802040300003,1207449.8274699985,783053.52359,3706900.441180002
ARMM,SS,2000,201.14781344508918,291.4896441474608,1207449.8274699969,783053.5235899988,3706900.4411799884
CAR,EQ,1,6.709865363650329,4.79884474398312,226826.77379999997,124763.20586,1783500.1087300023
CAR,EQ,10,8.471607631789206,6.363643516217439,226826.7738,124763.20586000005,1783500.1087300018
CAR,EQ,25,477.7037605254446,367.07985667205986,226826.7738,124763.20586000003,1783500.1087300056
CAR,EQ,30,891.5971823246371,658.3294025658663,226826.77379999997,124763.20586000002,1783500.108730007
CAR,EQ,50,3085.347114703648,2303.8299871262866,226826.7737999999,124763.20586,1783500.1087299997
CAR,EQ,100,12654.535799749647,9784.113773319179,226826.77380000008,124763.20586,1783500.10873
CAR,EQ,200,27326.038979303477,20555.88591277501,226826.77379999985,124763.20586000002,1783500.1087299963
CAR,EQ,250,38190.11448242346,28578.529222405316,226826.7738000001,124763.20585999996,1783500.1087299914
CAR,EQ,500,69412.47100188334,53559.26611172291,226826.77380000026,124763.20586000002,1783500.1087300004
CAR,EQ,1000,106722.88599005884,80613.2197065359,226826.77380000014,124763.20586000003,1783500.1087300049
CAR,EQ,2000,210140.92261149993,289304.30106850027,226826.77380000037,124763.20586,1783500.1087300002
CAR,HU,1,558.1056943067275,376.0341823225964,226826.77380000008,124763.20585999999,1783500.1087300035
CAR,HU,10,3456.9270938706513,2194.8443851093266,226826.77379999997,124763.20586,1783500.1087300004
CAR,HU,25,9900.375895116096,5441.121411077642,226826.77380000008,124763.20585999999,1783500.1087299997
CAR,HU,30,10540.352283258571,6360.158837171806,226826.7738,124763.20585999997,1783500.1087299965
CAR,HU,50,15228.32283524225,10143.93847984032,226826.77379999997,124763.20586,1783500.1087300025
CAR,HU,100,21059.952469074087,15143.276974257718,226826.7738000002,124763.20586000002,1783500.1087300014
CAR,HU,200,33242.51716160046,22592.76224286994,226826.77379999982,124763.20586,1783500.1087299988
CAR,HU,250,38149.791851826754,25555.984820483438,226826.7737999999,124763.20585999999,1783500.10873
CAR,HU,500,48475.217021091536,32088.84989495931,226826.77379999985,124763.20585999994,1783500.1087300032
CAR,HU,1000,58185.40075262804,39562.588443543864,226826.77380000014,124763.20586000006,1783500.108729997
CAR,HU,2000,0.001179359977126,0.0007791666756151249,226826.7737999999,124763.20586000003,1783500.1087299974
CAR,PF,1,512.4055505948625,264.2105037765589,226826.77379999988,124763.20586000005,1783500.1087300028
CAR,PF,10,2114.8063693547356,1462.02688425102,226826.77380000002,124763.20585999996,1783500.1087300007
CAR,PF,25,4985.318315910586,3567.9616576935555,226826.7738,124763.20586,1783500.1087299979
CAR,PF,30,5294.0648049621905,3804.413109875015,226826.77379999994,124763.20586,1783500.1087300037
CAR,PF,50,8177.9245820432025,4915.535083903673,226826.77379999988,124763.20586,1783500.1087300007
CAR,PF,100,12820.464778628997,8637.621276427453,226826.77380000002,124763.20586000003,1783500.1087300035
CAR,PF,200,20146.52813173859,15367.039635987052,226826.7738,124763.20585999996,1783500.1087300004
CAR,PF,250,20433.132341349534,15988.766383892591,226826.77380000026,124763.20586000003,1783500.1087300002
CAR,PF,500,26739.072202248415,15407.872390667486,226826.77379999997,124763.20585999999,1783500.1087299997
CAR,PF,1000,26159.945915227454,17790.82459866775,226826.77379999997,124763.20586000002,1783500.108729998
CAR,PF,2000,0.0011833436934771402,0.0007738657903926712,226826.7737999999,124763.20586000005,1783500.1087299979
I - Ilocos,EQ,1,715.7489289285353,345.5579993805733,498991.98615999985,172094.4782,5135999.7872799905
I - Ilocos,EQ,10,842.1399532825889,416.7817001277855,498991.9861600001,172094.47820000004,5135999.78727999
I - Ilocos,EQ,25,14297.37433718068,7023.946517062447,498991.98615999974,172094.47819999998,5135999.787280002
I - Ilocos,EQ,30,22820.16647658238,10062.922183684863,498991.98615999974,172094.47819999998,5135999.787279997
I - Ilocos,EQ,50,66992.02785572386,30687.77879795953,498991.9861600001,172094.47819999998,5135999.787279998
I - Ilocos,EQ,100,226452.06279560982,104454.94270454437,498991.9861600002,172094.47819999992,5135999.787279984
I - Ilocos,EQ,200,454986.40376711596,210976.60319140358,498991.9861600003,172094.47819999995,5135999.787280004
I - Ilocos,EQ,250,586088.0518700001,291144.5482820001,498991.98615999985,172094.47820000013,5135999.787279983
I - Ilocos,EQ,500,763155.0543404999,689300.6382689996,498991.98615999985,172094.47820000013,5135999.787279983
I - Ilocos,EQ,1000,808708.0968854999,986828.3271049996,498991.98615999985,172094.47820000013,5135999.787279983
I - Ilocos,EQ,2000,430262.4918475,3600854.4167885035,498991.98615999985,172094.47820000013,5135999.787279983
I - Ilocos,HU,1,5191.8364876836595,2205.097687590043,498991.9861599998,172094.47820000013,5135999.787280014
I - Ilocos,HU,10,29212.413333796325,11716.693686626564,498991.98616,172094.47819999995,5135999.787279995
I - Ilocos,HU,25,82795.88722415859,33733.52196691885,498991.9861599998,172094.4782,5135999.787280007
I - Ilocos,HU,30,92666.15206413313,39891.951340252934,498991.9861599998,172094.4782,5135999.787280017
I - Ilocos,HU,50,138707.82875383986,57196.99172450678,498991.9861599998,172094.47819999995,5135999.787280016
I - Ilocos,HU,100,219295.40222499854,92756.78680139512,498991.9861600002,172094.47820000004,5135999.787279994
I - Ilocos,HU,200,326923.5755117105,135811.56712926432,498991.98616000003,172094.4782,5135999.787280039
I - Ilocos,HU,250,383276.1573602613,141770.36422795992,498991.9861600001,172094.47819999998,5135999.787280007
I - Ilocos,HU,500,507279.0720910003,211092.90022650003,498991.98615999985,172094.47820000013,5135999.787279983
I - Ilocos,HU,1000,614695.0654085001,335738.45378399995,498991.98615999985,172094.47820000013,5135999.787279983
I - Ilocos,HU,2000,0.00459815250690461,0.001867210306982282,498991.98616000003,172094.47819999998,5135999.787279989
I - Ilocos,PF,1,1276.0379927748256,508.4331870250452,498991.98616000003,172094.47820000004,5135999.787280013
I - Ilocos,PF,10,5172.711456451007,2131.7711525871227,498991.9861599999,172094.4782,5135999.78728001
I - Ilocos,PF,25,14774.23582248554,5702.067860032546,498991.98616000003,172094.47819999998,5135999.787280005
I - Ilocos,PF,30,17997.924166169152,6798.5926481297065,498991.9861599999,172094.47820000007,5135999.787280015
I - Ilocos,PF,50,30519.862766976086,11154.711846617794,498991.9861600003,172094.47819999995,5135999.787279989
I - Ilocos,PF,100,49786.91390833016,19487.4223535674,498991.9861599999,172094.47820000004,5135999.787279999
I - Ilocos,PF,200,68364.24463252378,29739.64120776777,498991.98616000055,172094.47819999992,5135999.787279986
I - Ilocos,PF,250,76102.7007763758,30979.56923267209,498991.9861599999,172094.47819999998,5135999.787280016
I - Ilocos,PF,500,93674.38787657348,38477.14468917214,498991.98616000003,172094.47820000004,5135999.787279998
I - Ilocos,PF,1000,120948.46080498316,45641.02726139775,498991.98616000003,172094.47820000004,5135999.787280008
I - Ilocos,PF,2000,0.004570059599794519,0.0018038577716505285,498991.98616000015,172094.47819999998,5135999.787279989
I - Ilocos,SS,1,0.004775910687299999,0.0017420280927000003,498991.98616000003,172094.47819999998,5135999.787279989
I - Ilocos,SS,10,0.0046076164832,0.0017295750426,498991.98616000003,172094.47819999998,5135999.787279989
I - Ilocos,SS,25,1427.9907646082174,594.4382503787717,498991.98616000003,172094.4782,5135999.787279987
I - Ilocos,SS,30,1652.9318265802258,700.4612693722394,498991.98615999974,172094.4782,5135999.787279988
I - Ilocos,SS,50,2888.022778469391,1232.2779944637327,498991.9861599997,172094.47820000004,5135999.787280002
I - Ilocos,SS,100,3617.759161894417,1311.4374894775988,498991.98616000003,172094.47819999998,5135999.787279998
I - Ilocos,SS,200,4125.126879432039,1623.5102626439264,498991.98616,172094.47819999998,5135999.787279992
I - Ilocos,SS,250,4406.6140712714905,1747.512100373605,498991.9861600001,172094.47819999995,5135999.787280023
I - Ilocos,SS,500,4880.376848336947,1876.9423949747322,498991.98616000003,172094.47819999995,5135999.7872799905
I - Ilocos,SS,1000,5324.187467888104,2177.092255955741,498991.98616000003,172094.4782,5135999.787279985
I - Ilocos,SS,2000,113869.7009649048,47228.507020557845,498991.9861599996,172094.47819999992,5135999.7872799765
II - Cagayan Valley,EQ,1,489.2039243484893,309.3990290175539,462614.59881,91000.91563999999,3497900.2975199926
II - Cagayan Valley,EQ,10,826.386338700065,524.5741594898088,462614.5988100002,91000.91564000002,3497900.2975200014
II - Cagayan Valley,EQ,25,8056.776048047943,5325.30669133785,462614.59880999976,91000.91564000002,3497900.2975200014
II - Cagayan Valley,EQ,30,11187.352530795757,7946.182691480971,462614.59880999994,91000.91563999996,3497900.2975199968
II - Cagayan Valley,EQ,50,26846.85309552975,17315.792970786864,462614.59881,91000.91563999999,3497900.2975200047
II - Cagayan Valley,EQ,100,58215.6858550739,37471.51795822327,462614.59881000005,91000.91563999999,3497900.2975200065
II - Cagayan Valley,EQ,200,99472.28900751719,64728.44360708626,462614.5988100006,91000.91563999998,3497900.2975199977
II - Cagayan Valley,EQ,250,116677.75093379478,75158.6679924629,462614.59881,91000.91563999999,3497900.297520017
II - Cagayan Valley,EQ,500,165467.0498801666,116743.99285335476,462614.5988100002,91000.91563999998,3497900.2975200117
II - Cagayan Valley,EQ,1000,209384.45233902545,134499.69086994499,462614.5988099997,91000.91563999999,3497900.2975200005
II - Cagayan Valley,EQ,2000,318578.5805496218,232855.058308865,462614.5988099998,91000.91564000004,3497900.29752
II - Cagayan Valley,HU,1,9357.119743919342,5681.209271598387,462614.59880999965,91000.91564000002,3497900.297519995
II - Cagayan Valley,HU,10,50764.100220357206,31962.181886915707,462614.5988100001,91000.91564,3497900.297520013
II - Cagayan Valley,HU,25,108653.34947474801,64584.67420904364,462614.59880999994,91000.91564000005,3497900.2975200056
II - Cagayan Valley,HU,30,131632.70332649216,76735.81865213954,462614.5988100005,91000.91563999999,3497900.2975199833
II - Cagayan Valley,HU,50,180028.95697801607,106166.68025194749,462614.59881000017,91000.91563999995,3497900.297519992
II - Cagayan Valley,HU,100,258284.46481617412,160733.6723782122,462614.59880999994,91000.91563999992,3497900.297520026
II - Cagayan Valley,HU,200,346825.6991825,248459.01691599994,462614.5988100003,91000.91564000002,3497900.297520036
II - Cagayan Valley,HU,250,358352.0789459999,279925.7883414999,462614.5988100003,91000.91564000002,3497900.297520036
II - Cagayan Valley,HU,500,466467.0044869999,369872.91983900015,462614.5988100003,91000.91564000002,3497900.297520036
II - Cagayan Valley,HU,1000,530538.558038,518450.1750325002,462614.5988100003,91000.91564000002,3497900.297520036
II - Cagayan Valley,HU,2000,0.003097806694865732,0.001654342357612672,462614.59881000035,91000.91564,3497900.2975199977
II - Cagayan Valley,PF,1,742.7658598337381,492.9486981768533,462614.59881000005,91000.91564,3497900.2975199902
II - Cagayan Valley,PF,10,2575.6673269619932,1551.8898854280785,462614.59881,91000.91564,3497900.2975199884
II - Cagayan Valley,PF,25,9802.038048591661,6232.227390118447,462614.59880999965,91000.91564000002,3497900.2975199986
II - Cagayan Valley,PF,30,14132.24007252244,8468.771881880853,462614.59880999994,91000.91563999999,3497900.297519998
II - Cagayan Valley,PF,50,28118.11064885653,16007.891144048459,462614.59880999994,91000.91563999999,3497900.297519997
II - Cagayan Valley,PF,100,46329.59831956287,28608.127070931474,462614.59881000035,91000.91563999998,3497900.297520013
II - Cagayan Valley,PF,200,70126.24931875557,45132.05487008054,462614.59881000035,91000.91563999998,3497900.2975199916
II - Cagayan Valley,PF,250,81114.1607884091,46331.91566243829,462614.59881000017,91000.91564,3497900.297519989
II - Cagayan Valley,PF,500,101188.76896655516,65599.76694427837,462614.5988100003,91000.91564000002,3497900.2975199968
II - Cagayan Valley,PF,1000,129261.98306517344,80638.55454255098,462614.5988100001,91000.91563999999,3497900.297520005
II - Cagayan Valley,PF,2000,0.002941102746151934,0.001840974750430993,462614.59881000035,91000.91564,3497900.2975199977
II - Cagayan Valley,SS,1,1081.5868552626014,625.9396049844659,462614.5988099999,91000.91564000002,3497900.297519996
II - Cagayan Valley,SS,10,2903.7075472749216,1809.5381167399767,462614.59880999994,91000.91564000002,3497900.297520019
II - Cagayan Valley,SS,25,3935.0649749936033,2332.012408423904,462614.59880999994,91000.91563999998,3497900.2975200117
II - Cagayan Valley,SS,30,3644.0042860364924,2462.9695515610792,462614.5988100001,91000.91564,3497900.2975199977
II - Cagayan Valley,SS,50,4297.937447602212,2437.572634430667,462614.59881000005,91000.91564000002,3497900.2975199893
II - Cagayan Valley,SS,100,4933.999658225816,2997.6548163803723,462614.5988100002,91000.91563999999,3497900.2975200075
II - Cagayan Valley,SS,200,5451.707227926546,3012.292172989309,462614.59881,91000.91564,3497900.2975199935
II - Cagayan Valley,SS,250,5083.949670714846,3120.621710009588,462614.59880999994,91000.91563999999,3497900.297519998
II - Cagayan Valley,SS,500,5475.283669532037,3315.9547654331886,462614.59880999965,91000.91564,3497900.297519999
II - Cagayan Valley,SS,1000,6159.184041878585,4051.471446558346,462614.5988099997,91000.91564,3497900.297520004
II - Cagayan Valley,SS,2000,0.0029669476632970633,0.0018441880626089634,462614.59881000035,91000.91564,3497900.2975199977
III - Central Luzon,EQ,1,876.3037384930886,501.5787635803331,904508.9418500001,337561.9636,11098900.305219976
III - Central Luzon,EQ,10,1157.3539542040796,634.867312058471,904508.9418499996,337561.9636000001,11098900.305219973
III - Central Luzon,EQ,25,19469.783604266493,12474.299403457127,904508.9418499995,337561.9636,11098900.305219987
III - Central Luzon,EQ,30,30474.30033874789,17974.49351436478,904508.9418500003,337561.9636000002,11098900.30522001
III - Central Luzon,EQ,50,84122.00858108765,49505.46448712251,904508.9418500004,337561.9636,11098900.305219969
III - Central Luzon,EQ,100,221429.2096387332,138310.47463684998,904508.9418500002,337561.9636,11098900.305219987
III - Central Luzon,EQ,200,445382.9919106547,273852.549366534,904508.9418500011,337561.96359999996,11098900.30521994
III - Central Luzon,EQ,250,535404.9609236507,305714.6416547587,904508.9418500006,337561.9636000001,11098900.305219999
III - Central Luzon,EQ,500,685409.4184452725,411514.0288771708,904508.9418500002,337561.96360000013,11098900.305219945
III - Central Luzon,EQ,1000,984669.9731370001,684181.8128449995,904508.9418499992,337561.9636000001,11098900.305220043
III - Central Luzon,EQ,2000,1705942.4758174992,3418184.021063002,904508.9418499992,337561.9636000001,11098900.305220043
III - Central Luzon,HU,1,6556.2690740537555,3354.791992870078,904508.9418499994,337561.9635999999,11098900.305220008
III - Central Luzon,HU,10,24742.72077147505,12656.735208273083,904508.9418499995,337561.96359999996,11098900.305220021
III - Central Luzon,HU,25,106682.66718708938,45624.70210045867,904508.94185,337561.9636000001,11098900.305219973
III - Central Luzon,HU,30,125965.75444149094,62419.76957192105,904508.94185,337561.9635999999,11098900.305219974
III - Central Luzon,HU,50,199800.56807571976,103771.40212181439,904508.9418500003,337561.96359999984,11098900.305220002
III - Central Luzon,HU,100,349524.9254565529,171630.5307100867,904508.9418500003,337561.9636,11098900.30522
III - Central Luzon,HU,200,567925.1544413357,278178.5884779941,904508.9418499997,337561.96360000013,11098900.305219883
III - Central Luzon,HU,250,642233.3493926293,308709.8594414326,904508.94185,337561.9636000002,11098900.305219995
III - Central Luzon,HU,500,870364.0543505,492763.5203465,904508.9418499992,337561.9636000001,11098900.305220043
III - Central Luzon,HU,1000,1074388.4029264997,885443.4969774995,904508.9418499992,337561.9636000001,11098900.305220043
