region,hazard,new_pov_perm
ARMM,EQ,390.9353220217583
ARMM,HU,12.38384747755933
ARMM,PF,23.194727742982085
ARMM,SS,0.013001662053474075
CAR,EQ,74.89699212174467
CAR,HU,57.228588497240345
CAR,PF,24.135712976268966
I - Ilocos,EQ,2410.652846392851
I - Ilocos,HU,617.9895171749104
I - Ilocos,PF,118.40311382521286
I - Ilocos,SS,8.058752526845044
II - Cagayan Valley,EQ,171.78999683457593
II - Cagayan Valley,HU,1175.6492511364881
II - Cagayan Valley,PF,117.29657631618049
II - Cagayan Valley,SS,86.16080902752125
III - Central Luzon,EQ,2179.696169456884
III - Central Luzon,HU,1675.4067508971111
III - Central Luzon,PF,597.5052263498085
III - Central Luzon,SS,32.49539196377005
IVA - CALABARZON,EQ,2685.4505866037716
IVA - CALABARZON,HU,1593.371988717969
IVA - CALABARZON,PF,468.52549106446924
IVA - CALABARZON,SS,66.07801927411558
IVB - MIMAROPA,EQ,322.36130107948753
IVB - MIMAROPA,HU,311.50362524227745
IVB - MIMAROPA,PF,40.12645630544135
IVB - MIMAROPA,SS,19.56957790783355
IX - Zamboanga Peninsula,EQ,135.07384331351432
IX - Zamboanga Peninsula,HU,4.619636594060109
IX - Zamboanga Peninsula,PF,4.100157432312056
IX - Zamboanga Peninsula,SS,0.370269414863342
NCR,EQ,1913.635465801247
NCR,HU,350.15452903495697
NCR,PF,1181.9554099973948
NCR,SS,8.051614217128439
V - Bicol,EQ,891.6639455110097
V - Bicol,HU,4078.4104273913485
V - Bicol,PF,315.33712713282415
V - Bicol,SS,1121.5129854449588
VI - Western Visayas,EQ,1301.4007705845793
VI - Western Visayas,HU,250.30731275972568
VI - Western Visayas,PF,188.2861888089218
VI - Western Visayas,SS,130.01927434266554
VII - Central Visayas,EQ,251.49815934634302
VII - Central Visayas,HU,113.69094881092336
VII - Central Visayas,PF,261.2295445727927
VII - Central Visayas,SS,73.86999746824564
VIII - Eastern Visayas,EQ,273.0260346946147
VIII - Eastern Visayas,HU,509.7255960145164
VIII - Eastern Visayas,PF,23.77155887949781
VIII - Eastern Visayas,SS,144.70269909858646
X - Northern Mindanao,EQ,101.50828448772727
X - Northern Mindanao,HU,64.88081885959004
X - Northern Mindanao,PF,27.20567800702
X - Northern Mindanao,SS,2.7373209228228026
XI - Davao,EQ,398.62608704414714
XI - Davao,HU,8.593978213874639
XI - Davao,PF,15.006346595087216
XI - Davao,SS,0.44167233881492596
XII - SOCCSKSARGEN,EQ,281.4693247032542
XII - SOCCSKSARGEN,HU,1.1153459513405046
XII - SOCCSKSARGEN,PF,1.8435843623432762
XIII - Caraga,EQ,241.24039677802924
XIII - Caraga,HU,47.20808603851748
XIII - Caraga,PF,6.248733481440135
XIII - Caraga,SS,5.375146432319203
